Vehicle ID,Fuel ID,Fuel Configuration ID,Manufacturer ID,Model,Model Year,Alternative Fuel Economy City,Alternative Fuel Economy Combined,Conventional Fuel Economy City,Conventional Fuel Economy Combined,Manufacturer,Category,Fuel Code,Fuel,Drivetrain
12159,45,9.0,221,Highlander Hybrid AWD,2019,,,29.0,28.0,Toyota,Sedan/Wagon,HYBR,Hybrid Electric,
12160,45,9.0,221,Highlander Hybrid AWD LE Plus,2019,,,30.0,29.0,Toyota,Sedan/Wagon,HYBR,Hybrid Electric,
12108,9,1.0,221,Mirai,2019,67.0,67.0,,,Toyota,Sedan/Wagon,H2,Hydrogen Fuel Cell,
12191,45,9.0,221,Prius,2019,,,54.0,52.0,Toyota,Sedan/Wagon,HYBR,Hybrid Electric,
12192,45,9.0,221,Prius AWD,2019,,,52.0,50.0,Toyota,Sedan/Wagon,HYBR,Hybrid Electric,
12161,45,9.0,221,Prius c,2019,,,48.0,46.0,Toyota,Sedan/Wagon,HYBR,Hybrid Electric,
12193,45,9.0,221,Prius Eco,2019,,,58.0,56.0,Toyota,Sedan/Wagon,HYBR,Hybrid Electric,
12195,57,1.0,221,Prius Prime,2019,,133.0,55.0,54.0,Toyota,Sedan/Wagon,PHEV,Plug-in Hybrid Electric,
12233,45,9.0,221,RAV4 Hybrid AWD,2019,,,41.0,40.0,Toyota,SUV,HYBR,Hybrid Electric,
12126,11,5.0,221,Tundra 4WD FFV,2019,9.0,10.0,13.0,15.0,Toyota,Pickup,E85_GSLN,Ethanol (E85),
12105,41,1.0,347,e-Golf,2019,126.0,119.0,,,Volkswagen,Sedan/Wagon,ELEC,Electric,
12242,57,9.0,395,S60 AWD,2019,,74.0,29.0,31.0,Volvo,Sedan/Wagon,PHEV,Plug-in Hybrid Electric,
12071,57,9.0,395,S90 AWD,2019,,71.0,26.0,29.0,Volvo,Sedan/Wagon,PHEV,Plug-in Hybrid Electric,
12072,57,9.0,395,XC60 AWD,2019,,58.0,25.0,26.0,Volvo,SUV,PHEV,Plug-in Hybrid Electric,
12073,57,9.0,395,XC90 AWD,2019,,58.0,24.0,25.0,Volvo,SUV,PHEV,Plug-in Hybrid Electric,
11978,45,1.0,365,MDX AWD,2018,,,26.0,,Acura,SUV,HYBR,Hybrid Electric,
11967,45,9.0,365,NSX Hybrid,2018,,,21.0,,Acura,Sedan/Wagon,HYBR,Hybrid Electric,
11903,45,9.0,365,RLX Hybrid,2018,,,28.0,,Acura,Sedan/Wagon,HYBR,Hybrid Electric,
11936,57,9.0,377,A3 e-tron,2018,83.0,,34.0,,Audi,Sedan/Wagon,PHEV,Plug-in Hybrid Electric,
11937,57,9.0,211,330e,2018,71.0,,28.0,,BMW,Sedan/Wagon,PHEV,Plug-in Hybrid Electric,
11938,57,9.0,211,530e,2018,72.0,,28.0,,BMW,Sedan/Wagon,PHEV,Plug-in Hybrid Electric,
11939,57,9.0,211,530e xDrive,2018,67.0,,27.0,,BMW,Sedan/Wagon,PHEV,Plug-in Hybrid Electric,
11940,57,9.0,211,740e xDrive,2018,64.0,,25.0,,BMW,Sedan/Wagon,PHEV,Plug-in Hybrid Electric,
11975,41,1.0,211,I3 (94 Ah) ,2018,129.0,,,,BMW,Sedan/Wagon,ELEC,Electric,
11969,57,9.0,211,I3 (94Ah) with Range Extender,2018,109.0,,36.0,,BMW,Sedan/Wagon,PHEV,Plug-in Hybrid Electric,
11976,41,1.0,211,I3s (94 Ah) ,2018,126.0,,,,BMW,Sedan/Wagon,ELEC,Electric,
11970,57,9.0,211,I3s (94Ah) with Range Extender,2018,109.0,,36.0,,BMW,Sedan/Wagon,PHEV,Plug-in Hybrid Electric,
11941,57,9.0,211,X5 xDrive40e,2018,56.0,,23.0,,BMW,SUV,PHEV,Plug-in Hybrid Electric,
11904,45,9.0,235,LaCrosse Hybrid,2018,,,25.0,,Buick,Sedan/Wagon,HYBR,Hybrid Electric,
12218,41,1.0,410,e6,2018,73.0,,,,BYD Motors,Sedan/Wagon,ELEC,Electric,
11942,57,9.0,231,CT6 Plug-In,2018,62.0,,23.0,,Cadillac,Sedan/Wagon,PHEV,Plug-in Hybrid Electric,
11841,41,1.0,215,Bolt EV,2018,128.0,,,,Chevrolet,Sedan/Wagon,ELEC,Electric,
11906,45,9.0,215,C15 Silverado 2WD,2018,,,18.0,,Chevrolet,Pickup,HYBR,Hybrid Electric,
11826,35,1.0,215,Colorado 2WD,2018,,,22.0,,Chevrolet,Pickup,BD,Biodiesel (B20),
11827,35,1.0,215,Colorado 4WD,2018,,,20.0,,Chevrolet,Pickup,BD,Biodiesel (B20),
11828,35,1.0,215,Colorado ZR2 4WD,2018,,,19.0,,Chevrolet,Pickup,BD,Biodiesel (B20),
11830,35,1.0,215,Cruze,2018,,,30.0,,Chevrolet,Sedan/Wagon,BD,Biodiesel (B20),
11829,35,1.0,215,Cruze,2018,,,31.0,,Chevrolet,Sedan/Wagon,BD,Biodiesel (B20),
11831,35,1.0,215,Cruze Hatchback,2018,,,30.0,,Chevrolet,Sedan/Wagon,BD,Biodiesel (B20),
11832,35,1.0,215,Cruze Hatchback,2018,,,29.0,,Chevrolet,Sedan/Wagon,BD,Biodiesel (B20),
11834,35,1.0,215,Equinox AWD,2018,,,28.0,,Chevrolet,SUV,BD,Biodiesel (B20),
11833,35,1.0,215,Equinox FWD,2018,,,28.0,,Chevrolet,SUV,BD,Biodiesel (B20),
12021,11,5.0,215,Express 2500,2018,,,,,Chevrolet,Van,E85_GSLN,Ethanol (E85),
12030,55,1.0,215,Express 2500,2018,,,,,Chevrolet,Van,LPG,Propane,
12003,35,1.0,215,Express 2500,2018,,,,,Chevrolet,Van,BD,Biodiesel (B20),
12016,3,1.0,215,Express 2500,2018,,,,,Chevrolet,Van,CNG,CNG - Compressed Natural Gas,
11856,11,5.0,215,Impala,2018,14.0,,18.0,,Chevrolet,Sedan/Wagon,E85_GSLN,Ethanol (E85),
